scenario,scenario_label,policy,has_markers,n_seeds,arrival_error_m_mean,arrival_error_m_std,peak_drift_m_mean,peak_drift_m_std,rmse_m_mean,rmse_m_std,avl_invocations_mean,avl_invocations_std,corrections_mean,corrections_std,marker_success_rate_mean,marker_success_rate_std
A,"A: open, no markers",none,False,5,1.428121973452833,0.19430841323271214,1.4349226344557509,0.18793792918295557,0.8793173713823558,0.09562261560563254,0.0,0.0,0.0,0.0,0.0,0.0
A,"A: open, no markers",fixed,False,5,1.428121973452833,0.19430841323271214,1.4349226344557509,0.18793792918295557,0.8793173713823558,0.09562261560563254,0.0,0.0,0.0,0.0,0.0,0.0
A,"A: open, no markers",uncertainty,False,5,1.428121973452833,0.19430841323271214,1.4349226344557509,0.18793792918295557,0.8793173713823558,0.09562261560563254,0.0,0.0,0.0,0.0,0.0,0.0
B,B: markers along path,none,True,5,1.428121973452833,0.19430841323271214,1.4349226344557509,0.18793792918295557,0.8793173713823558,0.09562261560563254,0.0,0.0,0.0,0.0,0.0,0.0
B,B: markers along path,fixed,True,5,0.04272086179374285,0.010371436871922376,0.30670077520330064,0.06841958470715787,0.11604622051423766,0.014657032769310456,10.0,0.0,10.0,0.0,1.0,0.0
B,B: markers along path,uncertainty,True,5,0.14916512197896417,0.08741748082827687,0.4833515946134768,0.053252092913618446,0.22462292337404785,0.025558223936493474,4.0,0.0,3.8,0.39999999999999997,0.95,0.09999999999999999
C,C: obstacles + markers (detour),none,True,5,2.4836750524240983,0.5273867393315729,2.485364229281353,0.5291603608246913,1.504166009364241,0.334935333324847,0.0,0.0,0.0,0.0,0.0,0.0
C,C: obstacles + markers (detour),fixed,True,5,0.061942227264476776,0.04743797051884575,0.6849547260097999,0.19381297175301992,0.17349253214202107,0.0342250603316982,13.0,0.0,12.8,0.39999999999999997,0.9846153846153847,0.03076923076923075
C,C: obstacles + markers (detour),uncertainty,True,5,0.23804575266038466,0.05403030461264111,0.6637286973941847,0.17887774580527227,0.26699045505390523,0.07460302250779606,7.8,0.7483314773547882,7.2,0.39999999999999997,0.9277777777777778,0.059186877090729215
